model,layer,method,counterfactual_accuracy
oracle_outcome,0,oracle_slot,1.0
oracle_outcome,0,random_subspace,0.05078125
oracle_outcome,0,unstructured,0.087890625
oracle_outcome,0,wrong_layer,0.4140625
oracle_outcome,0,probe_subspace,0.224609375
oracle_outcome,0,probe_wrong_layer,0.09375
oracle_outcome,1,oracle_slot,1.0
oracle_outcome,1,random_subspace,0.07421875
oracle_outcome,1,unstructured,0.06640625
oracle_outcome,1,wrong_layer,0.4453125
oracle_outcome,1,probe_subspace,0.10546875
oracle_outcome,1,probe_wrong_layer,0.08203125
oracle_outcome,2,oracle_slot,1.0
oracle_outcome,2,random_subspace,0.0859375
oracle_outcome,2,unstructured,0.0625
oracle_outcome,2,wrong_layer,0.4765625
oracle_outcome,2,probe_subspace,0.103515625
oracle_outcome,2,probe_wrong_layer,0.064453125
oracle_outcome,3,oracle_slot,1.0
oracle_outcome,3,random_subspace,0.064453125
oracle_outcome,3,unstructured,0.0625
oracle_outcome,3,wrong_layer,0.154296875
oracle_outcome,3,probe_subspace,0.072265625
oracle_outcome,3,probe_wrong_layer,0.078125
